ratio: 内存被购买比例
ram_price: 内存价格，单位：EOS/KB
eos_balance: eosio.ram 账户余额
ram_bought: 被购买的内存数量，单位：字节

ratio	ram_price	eos_balance	ram_bought
99.00%	170.6667	99000000	68032281966
98.99%	170.6667	98009901	68025410018
98.98%	146.2857	97039216	68018538071
98.97%	146.2857	96087379	68011666123
98.96%	146.2857	95153846	68004794175
98.95%	146.2857	94238095	67997922228
98.94%	146.2857	93339623	67991050280
98.93%	146.2857	92457944	67984178332
98.92%	128.0000	91592593	67977306385
98.91%	128.0000	90743119	67970434437
98.90%	128.0000	89909091	67963562489
98.89%	128.0000	89090090	67956690542
98.88%	128.0000	88285714	67949818594
98.87%	128.0000	87495575	67942946646
98.86%	128.0000	86719298	67936074699
98.85%	113.7778	85956522	67929202751
98.84%	113.7778	85206897	67922330803
98.83%	113.7778	84470085	67915458856
98.82%	113.7778	83745763	67908586908
98.81%	113.7778	83033613	67901714960
98.80%	113.7778	82333333	67894843013
98.79%	102.4000	81644628	67887971065
98.78%	102.4000	80967213	67881099117
98.77%	102.4000	80300813	67874227170
98.76%	102.4000	79645161	67867355222
98.75%	102.4000	79000000	67860483274
98.74%	102.4000	78365079	67853611326
98.73%	93.0909	77740157	67846739379
98.72%	93.0909	77125000	67839867431
98.71%	93.0909	76519380	67832995483
98.70%	93.0909	75923077	67826123536
98.69%	93.0909	75335878	67819251588
98.68%	93.0909	74757576	67812379640
98.67%	85.3333	74187970	67805507693
98.66%	85.3333	73626865	67798635745
98.65%	85.3333	73074074	67791763797
98.64%	85.3333	72529412	67784891850
98.63%	85.3333	71992701	67778019902
98.62%	78.7692	71463768	67771147954
98.61%	78.7692	70942446	67764276007
98.60%	78.7692	70428571	67757404059
98.59%	78.7692	69921986	67750532111
98.58%	78.7692	69422535	67743660164
98.57%	73.1429	68930070	67736788216
98.56%	73.1429	68444444	67729916268
98.55%	73.1429	67965517	67723044321
98.54%	73.1429	67493150	67716172373
98.53%	73.1429	67027211	67709300425
98.52%	68.2667	66567567	67702428478
98.51%	68.2667	66114094	67695556530
98.50%	68.2667	65666666	67688684582
98.49%	68.2667	65225165	67681812635
98.48%	68.2667	64789473	67674940687
98.47%	64.0000	64359477	67668068739
98.46%	64.0000	63935065	67661196792
98.45%	64.0000	63516129	67654324844
98.44%	64.0000	63102564	67647452896
98.43%	64.0000	62694267	67640580949
98.42%	60.2353	62291139	67633709001
98.41%	60.2353	61893081	67626837053
98.40%	60.2353	61500000	67619965106
98.39%	60.2353	61111801	67613093158
98.38%	56.8889	60728395	67606221210
98.37%	56.8889	60349693	67599349263
98.36%	56.8889	59975609	67592477315
98.35%	56.8889	59606060	67585605367
98.34%	56.8889	59240963	67578733420
98.33%	53.8947	58880239	67571861472
98.32%	53.8947	58523809	67564989524
98.31%	53.8947	58171597	67558117577
98.30%	53.8947	57823529	67551245629
98.29%	51.2000	57479532	67544373681
98.28%	51.2000	57139534	67537501734
98.27%	51.2000	56803468	67530629786
98.26%	51.2000	56471264	67523757838
98.25%	48.7619	56142856	67516885890
98.24%	48.7619	55818181	67510013943
98.23%	48.7619	55497174	67503141995
98.22%	48.7619	55179775	67496270047
98.21%	48.7619	54865921	67489398100
98.20%	46.5455	54555555	67482526152
98.19%	46.5455	54248618	67475654204
98.18%	46.5455	53945054	67468782257
98.17%	46.5455	53644808	67461910309
98.16%	44.5217	53347825	67455038361
98.15%	44.5217	53054053	67448166414
98.14%	44.5217	52763440	67441294466
98.13%	42.6667	52475935	67434422518
98.12%	42.6667	52191488	67427550571
98.11%	42.6667	51910052	67420678623
98.10%	42.6667	51631578	67413806675
98.09%	40.9600	51356020	67406934728
98.08%	40.9600	51083332	67400062780
98.07%	40.9600	50813471	67393190832
98.06%	40.9600	50546391	67386318885
98.05%	39.3846	50282050	67379446937
98.04%	39.3846	50020407	67372574989
98.03%	39.3846	49761420	67365703042
98.02%	39.3846	49505050	67358831094
98.01%	37.9259	49251255	67351959146
98.00%	37.9259	48999999	67345087199
97.99%	37.9259	48751243	67338215251
97.98%	36.5714	48504949	67331343303
97.97%	36.5714	48261083	67324471356
97.96%	36.5714	48019607	67317599408
97.95%	36.5714	47780487	67310727460
97.94%	35.3103	47543688	67303855513
97.93%	35.3103	47309178	67296983565
97.92%	35.3103	47076922	67290111617
97.91%	35.3103	46846889	67283239670
97.90%	34.1333	46619046	67276367722
97.89%	34.1333	46393364	67269495774
97.88%	34.1333	46169810	67262623827
97.87%	33.0323	45948356	67255751879
97.86%	33.0323	45728971	67248879931
97.85%	33.0323	45511627	67242007984
97.84%	32.0000	45296295	67235136036
97.83%	32.0000	45082948	67228264088
97.82%	32.0000	44871558	67221392141
97.81%	32.0000	44662099	67214520193
97.80%	31.0303	44454544	67207648245
97.79%	31.0303	44248867	67200776297
97.78%	31.0303	44045044	67193904350
97.77%	30.1176	43843048	67187032402
97.76%	30.1176	43642856	67180160454
97.75%	30.1176	43444443	67173288507
97.74%	29.2571	43247786	67166416559
97.73%	29.2571	43052862	67159544611
