ratio: 内存被购买比例
price: 内存价格，单位：EOS/KB
eos: eosio.ram 账户余额
ram_byte: 被购买的内存数量，单位：字节
ram_G: 被购买的内存数量，单位：字节


ratio	price	eos	ram_byte	ram_G
0%	0.0149	0	0	0.00 
1%	0.0152	10101	687194765	0.64 
2%	0.0155	20408	1374389532	1.28 
3%	0.0158	30928	2061584299	1.92 
4%	0.0162	41666	2748779067	2.56 
5%	0.0165	52631	3435973834	3.20 
6%	0.0169	63830	4123168602	3.84 
7%	0.0172	75269	4810363369	4.48 
8%	0.0176	86956	5497558136	5.12 
9%	0.018	98901	6184752904	5.76 
10%	0.0184	111111	6871947671	6.40 
11%	0.0188	123595	7559142438	7.04 
12%	0.0192	136363	8246337206	7.68 
13%	0.0197	149425	8933531973	8.32 
14%	0.0201	162791	9620726740	8.96 
15%	0.0206	176470	10307921508	9.60 
16%	0.0211	190476	10995116275	10.24 
17%	0.0216	204819	11682311042	10.88 
18%	0.0222	219512	12369505810	11.52 
19%	0.0227	234568	13056700577	12.16 
20%	0.0233	250000	13743895345	12.80 
21%	0.0239	265823	14431090112	13.44 
22%	0.0245	282051	15118284879	14.08 
23%	0.0251	298701	15805479647	14.72 
24%	0.0258	315789	16492674414	15.36 
25%	0.0265	333333	17179869181	16.00 
26%	0.0272	351351	17867063949	16.64 
27%	0.028	369863	18554258716	17.28 
28%	0.0287	388889	19241453483	17.92 
29%	0.0296	408451	19928648251	18.56 
30%	0.0304	428571	20615843018	19.20 
31%	0.0313	449275	21303037786	19.84 
32%	0.0322	470588	21990232553	20.48 
33%	0.0332	492537	22677427320	21.12 
34%	0.0342	515151	23364622088	21.76 
35%	0.0353	538461	24051816855	22.40 
36%	0.0364	562500	24739011622	23.04 
37%	0.0375	587301	25426206390	23.68 
38%	0.0388	612903	26113401157	24.32 
39%	0.04	639344	26800595924	24.96 
40%	0.0414	666666	27487790692	25.60 
41%	0.0428	694915	28174985459	26.24 
42%	0.0443	724138	28862180226	26.88 
43%	0.0459	754386	29549374994	27.52 
44%	0.0475	785714	30236569761	28.16 
45%	0.0493	818182	30923764529	28.80 
46%	0.0511	851852	31610959296	29.44 
47%	0.0531	886792	32298154063	30.08 
48%	0.0551	923077	32985348831	30.72 
49%	0.0573	960784	33672543598	31.36 
50%	0.0596	1000000	34359738365	32.00 
51%	0.0621	1040816	35046933133	32.64 
52%	0.0647	1083333	35734127900	33.28 
53%	0.0675	1127659	36421322667	33.92 
54%	0.0704	1173913	37108517435	34.56 
55%	0.0736	1222222	37795712202	35.20 
56%	0.077	1272727	38482906970	35.84 
57%	0.0806	1325581	39170101737	36.48 
58%	0.0845	1380952	39857296504	37.12 
59%	0.0887	1439024	40544491272	37.76 
60%	0.0931	1500000	41231686039	38.40 
61%	0.098	1564102	41918880806	39.04 
62%	0.1032	1631579	42606075574	39.68 
63%	0.1089	1702703	43293270341	40.32 
64%	0.115	1777778	43980465108	40.96 
65%	0.1217	1857143	44667659876	41.60 
66%	0.1289	1941176	45354854643	42.24 
67%	0.1368	2030303	46042049410	42.88 
68%	0.1455	2125000	46729244178	43.52 
69%	0.1551	2225806	47416438945	44.16 
70%	0.1656	2333333	48103633713	44.80 
71%	0.1772	2448276	48790828480	45.44 
72%	0.1901	2571428	49478023247	46.08 
73%	0.2044	2703704	50165218015	46.72 
74%	0.2205	2846154	50852412782	47.36 
75%	0.2385	3000000	51539607549	48.00 
76%	0.2588	3166667	52226802317	48.64 
77%	0.2818	3347826	52913997084	49.28 
78%	0.308	3545454	53601191851	49.92 
79%	0.338	3761905	54288386619	50.56 
80%	0.3726	4000000	54975581386	51.20 
81%	0.4129	4263158	55662776154	51.84 
82%	0.46	4555555	56349970921	52.48 
83%	0.5159	4882353	57037165688	53.12 
84%	0.5825	5250000	57724360456	53.76 
85%	0.6628	5666667	58411555223	54.40 
86%	0.7608	6142857	59098749990	55.04 
87%	0.882	6692308	59785944758	55.68 
88%	1.0354	7333333	60473139525	56.32 
89%	1.2323	8090909	61160334292	56.96 
90%	1.4905	9000000	61847529060	57.60 
91%	1.8417	10111111	62534723827	58.24 
92%	2.3326	11500000	63221918594	58.88 
93%	3.0476	13285714	63909113362	59.52 
94%	4.1457	15666667	64596308129	60.16 
95%	5.9883	19000000	65283502897	60.80 
96%	9.3945	24000000	65970697664	61.44 
97%	16.7869	32333333	66657892431	62.08 
98%	37.9259	49000000	67345087199	62.72 
99%	170.6667	99000000	68032281966	63.36 
